ds,yhat,yhat_lower,yhat_upper
2026-04-16,5883.0,1997.0,9945.0
2026-04-17,5123.0,1390.0,9050.0
2026-04-18,9045.0,4898.0,12636.0
2026-04-19,9393.0,5721.0,13222.0
2026-04-20,5540.0,1861.0,9009.0
2026-04-21,6003.0,2050.0,9683.0
2026-04-22,5871.0,1682.0,9595.0
2026-04-23,5798.0,1645.0,9726.0
2026-04-24,5049.0,1184.0,8914.0
2026-04-25,8914.0,5155.0,12888.0
2026-04-26,9258.0,5469.0,13052.0
2026-04-27,5460.0,1478.0,9438.0
2026-04-28,5916.0,1875.0,9694.0
2026-04-29,5786.0,2137.0,9666.0
